DATE,EmpRate
2002-01-01,72.03223
2002-02-01,72.33686
2002-03-01,72.15416
2002-04-01,71.90136
2002-05-01,72.01969
2002-06-01,71.84252
2002-07-01,71.74620
2002-08-01,71.88448
2002-09-01,72.05198
2002-10-01,71.87589
2002-11-01,71.54951
2002-12-01,71.57857
2003-01-01,71.59360
2003-02-01,71.51534
2003-03-01,71.39220
2003-04-01,71.38863
2003-05-01,71.22087
2003-06-01,71.22948
2003-07-01,71.00600
2003-08-01,71.01548
2003-09-01,70.92384
2003-10-01,71.05398
2003-11-01,71.13012
2003-12-01,71.10200
2004-01-01,71.26087
2004-02-01,71.20327
2004-03-01,71.04633
2004-04-01,71.19505
2004-05-01,71.14198
2004-06-01,71.10732
2004-07-01,71.29648
2004-08-01,71.25890
2004-09-01,71.16233
2004-10-01,71.22920
2004-11-01,71.36280
2004-12-01,71.30595
2005-01-01,71.31705
2005-02-01,71.23407
2005-03-01,71.28392
2005-04-01,71.41814
2005-05-01,71.52487
2005-06-01,71.48569
2005-07-01,71.62000
2005-08-01,71.81405
2005-09-01,71.69241
2005-10-01,71.70112
2005-11-01,71.56703
2005-12-01,71.63393
2006-01-01,71.68687
2006-02-01,71.76977
2006-03-01,71.82084
2006-04-01,71.79735
2006-05-01,71.87387
2006-06-01,72.01246
2006-07-01,72.02132
2006-08-01,72.10670
2006-09-01,72.05521
2006-10-01,72.24470
2006-11-01,72.17606
2006-12-01,72.31413
2007-01-01,72.12104
2007-02-01,71.96537
2007-03-01,71.99693
2007-04-01,71.71185
2007-05-01,71.75803
2007-06-01,71.77556
2007-07-01,71.74475
2007-08-01,71.58337
2007-09-01,71.71050
2007-10-01,71.58522
2007-11-01,71.77063
2007-12-01,71.54828
2008-01-01,71.67509
2008-02-01,71.43638
2008-03-01,71.42452
2008-04-01,71.40993
2008-05-01,71.20149
2008-06-01,71.11957
2008-07-01,70.92284
2008-08-01,70.70141
2008-09-01,70.51897
2008-10-01,70.36874
2008-11-01,69.92563
2008-12-01,69.55435
2009-01-01,69.04086
2009-02-01,68.74940
2009-03-01,68.23804
2009-04-01,68.14265
2009-05-01,67.77541
2009-06-01,67.81111
2009-07-01,67.69031
2009-08-01,67.31916
2009-09-01,66.88352
2009-10-01,66.61576
2009-11-01,66.69328
2009-12-01,66.43696
2010-01-01,66.78075
2010-02-01,66.72663
2010-03-01,66.73633
2010-04-01,66.83888
2010-05-01,66.73327
2010-06-01,66.74070
2010-07-01,66.71790
2010-08-01,66.75996
2010-09-01,66.64889
2010-10-01,66.46441
2010-11-01,66.38243
2010-12-01,66.50681
2011-01-01,66.69163
2011-02-01,66.60246
2011-03-01,66.67799
2011-04-01,66.54449
2011-05-01,66.53564
2011-06-01,66.42619
2011-07-01,66.41704
2011-08-01,66.66679
2011-09-01,66.68575
2011-10-01,66.66641
2011-11-01,66.80794
2011-12-01,66.84145
2012-01-01,66.92216
2012-02-01,66.96613
2012-03-01,66.98370
2012-04-01,66.93381
2012-05-01,67.06300
2012-06-01,67.13231
2012-07-01,67.05759
2012-08-01,67.01398
2012-09-01,67.31033
2012-10-01,67.49162
2012-11-01,67.27480
2012-12-01,67.29460
2013-01-01,67.25642
2013-02-01,67.24566
2013-03-01,67.18954
2013-04-01,67.25117
2013-05-01,67.33850
2013-06-01,67.36014
2013-07-01,67.48642
2013-08-01,67.42254
2013-09-01,67.47278
2013-10-01,67.14686
2013-11-01,67.45423
2013-12-01,67.54578
2014-01-01,67.72143
2014-02-01,67.70548
2014-03-01,67.90681
2014-04-01,67.94564
2014-05-01,68.02888
2014-06-01,68.15124
2014-07-01,68.16228
2014-08-01,68.21883
2014-09-01,68.27353
2014-10-01,68.57702
2014-11-01,68.52156
2014-12-01,68.48714
2015-01-01,68.54184
2015-02-01,68.53944
2015-03-01,68.42200
2015-04-01,68.67667
2015-05-01,68.79351
2015-06-01,68.69038
2015-07-01,68.64074
2015-08-01,68.75735
2015-09-01,68.66211
2015-10-01,68.74364
2015-11-01,68.89730
2015-12-01,69.09196
2016-01-01,69.18288
2016-02-01,69.25617
2016-03-01,69.28798
2016-04-01,69.14854
2016-05-01,69.28413
2016-06-01,69.19584
2016-07-01,69.28635
2016-08-01,69.37614
2016-09-01,69.42281
2016-10-01,69.43351
2016-11-01,69.55733
2016-12-01,69.56990
2017-01-01,69.65086
2017-02-01,69.73132
2017-03-01,70.00208
2017-04-01,70.08931
2017-05-01,70.00336
2017-06-01,70.09729
2017-07-01,70.18246
2017-08-01,70.15235
2017-09-01,70.47141
2017-10-01,70.27258
2017-11-01,70.31368
2017-12-01,70.29785
2018-01-01,70.32077
2018-02-01,70.60235
2018-03-01,70.55121
2018-04-01,70.53526
2018-05-01,70.71890
2018-06-01,70.69278
2018-07-01,70.86824
2018-08-01,70.57421
2018-09-01,70.76550
2018-10-01,70.93596
2018-11-01,70.98981
2018-12-01,71.00709
2019-01-01,71.02974
2019-02-01,71.07077
2019-03-01,71.05695
2019-04-01,71.13994
2019-05-01,71.14645
2019-06-01,71.24626
2019-07-01,71.26814
2019-08-01,71.41679
2019-09-01,71.70893
2019-10-01,71.71954
2019-11-01,71.69466
2019-12-01,71.69115
2020-01-01,71.76291
2020-02-01,71.80468
2020-03-01,70.51028
2020-04-01,60.16855
2020-05-01,62.23860
2020-06-01,64.78522
2020-07-01,65.38812
2020-08-01,66.85610
2020-09-01,66.91418
2020-10-01,67.90632
2020-11-01,67.82595
2020-12-01,67.94363
2021-01-01,68.19142
2021-02-01,68.46664
2021-03-01,68.58335
2021-04-01,68.64576
2021-05-01,68.97501
2021-06-01,69.10757
2021-07-01,69.67401
2021-08-01,69.68004
2021-09-01,69.93228
2021-10-01,70.22279
2021-11-01,70.63979
2021-12-01,70.82447
2022-01-01,70.71904
2022-02-01,70.90337
2022-03-01,71.21838
2022-04-01,71.19490
2022-05-01,71.36156
2022-06-01,71.23389
2022-07-01,71.32460
2022-08-01,71.48444
2022-09-01,71.41779
2022-10-01,71.30610
2022-11-01,71.33207
2022-12-01,71.61745
2023-01-01,71.67134
2023-02-01,71.78186
2023-03-01,71.85808
2023-04-01,71.95604
2023-05-01,71.93774
2023-06-01,71.98534
2023-07-01,71.96878
